image,label,lesion_id,group,path
ISIC_0000126_downsampled,0,,ISIC_0000126_downsampled,images/ISIC_0000126_downsampled.jpg
ISIC_0059701,0,BCN_0003923,BCN_0003923,images/ISIC_0059701.jpg
ISIC_0072385,0,BCN_0003204,BCN_0003204,images/ISIC_0072385.jpg
ISIC_0054582,0,BCN_0005100,BCN_0005100,images/ISIC_0054582.jpg
ISIC_0015563_downsampled,0,,ISIC_0015563_downsampled,images/ISIC_0015563_downsampled.jpg
ISIC_0028767,0,HAM_0003419,HAM_0003419,images/ISIC_0028767.jpg
ISIC_0027324,0,HAM_0003189,HAM_0003189,images/ISIC_0027324.jpg
ISIC_0031366,0,HAM_0000014,HAM_0000014,images/ISIC_0031366.jpg
ISIC_0061115,0,BCN_0000706,BCN_0000706,images/ISIC_0061115.jpg
ISIC_0009982,0,,ISIC_0009982,images/ISIC_0009982.jpg
ISIC_0068001,0,BCN_0003462,BCN_0003462,images/ISIC_0068001.jpg
ISIC_0054565,0,BCN_0000586,BCN_0000586,images/ISIC_0054565.jpg
ISIC_0030999,0,HAM_0006057,HAM_0006057,images/ISIC_0030999.jpg
ISIC_0032813,0,HAM_0002582,HAM_0002582,images/ISIC_0032813.jpg
ISIC_0061706,0,BCN_0002612,BCN_0002612,images/ISIC_0061706.jpg
ISIC_0067645,0,BCN_0003105,BCN_0003105,images/ISIC_0067645.jpg
ISIC_0000065_downsampled,0,,ISIC_0000065_downsampled,images/ISIC_0000065_downsampled.jpg
ISIC_0025689,0,HAM_0006629,HAM_0006629,images/ISIC_0025689.jpg
ISIC_0031111,0,HAM_0000922,HAM_0000922,images/ISIC_0031111.jpg
ISIC_0001871_downsampled,0,,ISIC_0001871_downsampled,images/ISIC_0001871_downsampled.jpg
ISIC_0073036,0,BCN_0001713,BCN_0001713,images/ISIC_0073036.jpg
ISIC_0055520,0,BCN_0002082,BCN_0002082,images/ISIC_0055520.jpg
ISIC_0027879,0,HAM_0003863,HAM_0003863,images/ISIC_0027879.jpg
ISIC_0010346,0,,ISIC_0010346,images/ISIC_0010346.jpg
ISIC_0026587,0,HAM_0001124,HAM_0001124,images/ISIC_0026587.jpg
ISIC_0032428,0,HAM_0004410,HAM_0004410,images/ISIC_0032428.jpg
ISIC_0069805,0,BCN_0002648,BCN_0002648,images/ISIC_0069805.jpg
ISIC_0055866,0,BCN_0002837,BCN_0002837,images/ISIC_0055866.jpg
ISIC_0030006,0,HAM_0003546,HAM_0003546,images/ISIC_0030006.jpg
ISIC_0013807_downsampled,0,MSK4_0011097,MSK4_0011097,images/ISIC_0013807_downsampled.jpg
ISIC_0054100,0,BCN_0005528,BCN_0005528,images/ISIC_0054100.jpg
ISIC_0026641,0,HAM_0002753,HAM_0002753,images/ISIC_0026641.jpg
ISIC_0013801_downsampled,0,MSK4_0011090,MSK4_0011090,images/ISIC_0013801_downsampled.jpg
ISIC_0011104,0,,ISIC_0011104,images/ISIC_0011104.jpg
ISIC_0025844,0,HAM_0006840,HAM_0006840,images/ISIC_0025844.jpg
ISIC_0013410_downsampled,0,MSK4_0010197,MSK4_0010197,images/ISIC_0013410_downsampled.jpg
ISIC_0015939_downsampled,0,,ISIC_0015939_downsampled,images/ISIC_0015939_downsampled.jpg
ISIC_0030506,0,HAM_0000384,HAM_0000384,images/ISIC_0030506.jpg
ISIC_0031327,0,HAM_0007137,HAM_0007137,images/ISIC_0031327.jpg
ISIC_0025511,0,HAM_0002979,HAM_0002979,images/ISIC_0025511.jpg
ISIC_0071437,0,BCN_0003255,BCN_0003255,images/ISIC_0071437.jpg
ISIC_0034292,0,HAM_0007475,HAM_0007475,images/ISIC_0034292.jpg
ISIC_0024447,0,HAM_0007429,HAM_0007429,images/ISIC_0024447.jpg
ISIC_0031020,0,HAM_0005515,HAM_0005515,images/ISIC_0031020.jpg
ISIC_0001292_downsampled,0,,ISIC_0001292_downsampled,images/ISIC_0001292_downsampled.jpg
ISIC_0069101,0,BCN_0000996,BCN_0000996,images/ISIC_0069101.jpg
ISIC_0055592,0,BCN_0005300,BCN_0005300,images/ISIC_0055592.jpg
ISIC_0068532,0,BCN_0000331,BCN_0000331,images/ISIC_0068532.jpg
ISIC_0028595,0,HAM_0003237,HAM_0003237,images/ISIC_0028595.jpg
ISIC_0064277,0,BCN_0003483,BCN_0003483,images/ISIC_0064277.jpg
ISIC_0032977,0,HAM_0007444,HAM_0007444,images/ISIC_0032977.jpg
ISIC_0061087,0,BCN_0003662,BCN_0003662,images/ISIC_0061087.jpg
ISIC_0069816,0,BCN_0002713,BCN_0002713,images/ISIC_0069816.jpg
ISIC_0055278,0,BCN_0004387,BCN_0004387,images/ISIC_0055278.jpg
ISIC_0000546,0,,ISIC_0000546,images/ISIC_0000546.jpg
ISIC_0055435,0,BCN_0001698,BCN_0001698,images/ISIC_0055435.jpg
ISIC_0016061_downsampled,0,,ISIC_0016061_downsampled,images/ISIC_0016061_downsampled.jpg
ISIC_0066326,0,BCN_0003820,BCN_0003820,images/ISIC_0066326.jpg
ISIC_0030303,0,HAM_0005143,HAM_0005143,images/ISIC_0030303.jpg
ISIC_0065393,0,BCN_0000611,BCN_0000611,images/ISIC_0065393.jpg
ISIC_0026415,0,HAM_0000520,HAM_0000520,images/ISIC_0026415.jpg
ISIC_0033835,0,HAM_0002325,HAM_0002325,images/ISIC_0033835.jpg
ISIC_0025923,0,HAM_0005370,HAM_0005370,images/ISIC_0025923.jpg
ISIC_0032607,0,HAM_0004071,HAM_0004071,images/ISIC_0032607.jpg
ISIC_0058913,0,BCN_0004851,BCN_0004851,images/ISIC_0058913.jpg
ISIC_0058814,0,BCN_0001420,BCN_0001420,images/ISIC_0058814.jpg
ISIC_0064028,0,BCN_0003424,BCN_0003424,images/ISIC_0064028.jpg
ISIC_0025802,0,HAM_0001199,HAM_0001199,images/ISIC_0025802.jpg
ISIC_0029607,0,HAM_0003599,HAM_0003599,images/ISIC_0029607.jpg
ISIC_0069334,0,BCN_0005423,BCN_0005423,images/ISIC_0069334.jpg
ISIC_0034014,0,HAM_0003993,HAM_0003993,images/ISIC_0034014.jpg
ISIC_0055053,0,BCN_0001716,BCN_0001716,images/ISIC_0055053.jpg
ISIC_0064186,0,BCN_0003945,BCN_0003945,images/ISIC_0064186.jpg
ISIC_0029211,0,HAM_0001162,HAM_0001162,images/ISIC_0029211.jpg
ISIC_0024869,0,HAM_0007373,HAM_0007373,images/ISIC_0024869.jpg
ISIC_0028134,0,HAM_0004022,HAM_0004022,images/ISIC_0028134.jpg
ISIC_0026157,0,HAM_0000787,HAM_0000787,images/ISIC_0026157.jpg
ISIC_0026009,1,HAM_0000952,HAM_0000952,images/ISIC_0026009.jpg
ISIC_0070852,1,BCN_0001456,BCN_0001456,images/ISIC_0070852.jpg
ISIC_0056525,1,BCN_0004592,BCN_0004592,images/ISIC_0056525.jpg
ISIC_0013636_downsampled,1,MSK4_0010792,MSK4_0010792,images/ISIC_0013636_downsampled.jpg
ISIC_0072976,1,BCN_0005149,BCN_0005149,images/ISIC_0072976.jpg
ISIC_0028291,1,HAM_0006253,HAM_0006253,images/ISIC_0028291.jpg
ISIC_0058713,1,BCN_0004841,BCN_0004841,images/ISIC_0058713.jpg
ISIC_0025489,1,HAM_0002770,HAM_0002770,images/ISIC_0025489.jpg
ISIC_0062474,1,BCN_0002675,BCN_0002675,images/ISIC_0062474.jpg
ISIC_0056600,1,BCN_0002453,BCN_0002453,images/ISIC_0056600.jpg
ISIC_0000513,1,,ISIC_0000513,images/ISIC_0000513.jpg
ISIC_0071471,1,BCN_0001954,BCN_0001954,images/ISIC_0071471.jpg
ISIC_0064079,1,BCN_0000229,BCN_0000229,images/ISIC_0064079.jpg
ISIC_0060511,1,BCN_0003501,BCN_0003501,images/ISIC_0060511.jpg
ISIC_0029265,1,HAM_0001272,HAM_0001272,images/ISIC_0029265.jpg
ISIC_0060393,1,BCN_0000247,BCN_0000247,images/ISIC_0060393.jpg
ISIC_0029995,1,HAM_0001835,HAM_0001835,images/ISIC_0029995.jpg
ISIC_0060219,1,BCN_0002861,BCN_0002861,images/ISIC_0060219.jpg
ISIC_0056413,1,BCN_0002717,BCN_0002717,images/ISIC_0056413.jpg
ISIC_0025081,1,HAM_0001203,HAM_0001203,images/ISIC_0025081.jpg
ISIC_0033204,1,HAM_0006886,HAM_0006886,images/ISIC_0033204.jpg
ISIC_0063617,1,BCN_0000236,BCN_0000236,images/ISIC_0063617.jpg
ISIC_0055527,1,BCN_0005395,BCN_0005395,images/ISIC_0055527.jpg
ISIC_0064472,1,BCN_0002384,BCN_0002384,images/ISIC_0064472.jpg
ISIC_0064073,1,BCN_0001964,BCN_0001964,images/ISIC_0064073.jpg
ISIC_0000517,1,,ISIC_0000517,images/ISIC_0000517.jpg
ISIC_0027797,1,HAM_0000910,HAM_0000910,images/ISIC_0027797.jpg
ISIC_0028489,1,HAM_0005785,HAM_0005785,images/ISIC_0028489.jpg
ISIC_0032450,1,HAM_0006908,HAM_0006908,images/ISIC_0032450.jpg
ISIC_0000013,1,,ISIC_0000013,images/ISIC_0000013.jpg
ISIC_0056793,1,BCN_0000444,BCN_0000444,images/ISIC_0056793.jpg
ISIC_0065883,1,BCN_0001321,BCN_0001321,images/ISIC_0065883.jpg
ISIC_0063266,1,BCN_0005128,BCN_0005128,images/ISIC_0063266.jpg
ISIC_0012425_downsampled,1,,ISIC_0012425_downsampled,images/ISIC_0012425_downsampled.jpg
ISIC_0015180_downsampled,1,,ISIC_0015180_downsampled,images/ISIC_0015180_downsampled.jpg
ISIC_0064195,1,BCN_0002861,BCN_0002861,images/ISIC_0064195.jpg
ISIC_0069508,1,BCN_0004066,BCN_0004066,images/ISIC_0069508.jpg
ISIC_0056186,1,BCN_0005272,BCN_0005272,images/ISIC_0056186.jpg
ISIC_0033975,1,HAM_0003983,HAM_0003983,images/ISIC_0033975.jpg
ISIC_0033977,1,HAM_0004129,HAM_0004129,images/ISIC_0033977.jpg
ISIC_0072977,1,BCN_0001085,BCN_0001085,images/ISIC_0072977.jpg
ISIC_0055279,1,BCN_0001189,BCN_0001189,images/ISIC_0055279.jpg
ISIC_0059318,1,BCN_0004133,BCN_0004133,images/ISIC_0059318.jpg
ISIC_0071783,1,BCN_0001161,BCN_0001161,images/ISIC_0071783.jpg
ISIC_0032152,1,HAM_0003869,HAM_0003869,images/ISIC_0032152.jpg
ISIC_0056309,1,BCN_0001513,BCN_0001513,images/ISIC_0056309.jpg
ISIC_0062525,1,BCN_0002616,BCN_0002616,images/ISIC_0062525.jpg
ISIC_0071111,1,BCN_0001456,BCN_0001456,images/ISIC_0071111.jpg
ISIC_0000482,1,,ISIC_0000482,images/ISIC_0000482.jpg
ISIC_0014284_downsampled,1,MSK4_0010898,MSK4_0010898,images/ISIC_0014284_downsampled.jpg
ISIC_0060648,1,BCN_0001198,BCN_0001198,images/ISIC_0060648.jpg
ISIC_0013455_downsampled,1,MSK4_0010765,MSK4_0010765,images/ISIC_0013455_downsampled.jpg
ISIC_0072983,1,BCN_0000389,BCN_0000389,images/ISIC_0072983.jpg
ISIC_0028860,1,HAM_0006779,HAM_0006779,images/ISIC_0028860.jpg
ISIC_0059093,1,BCN_0002317,BCN_0002317,images/ISIC_0059093.jpg
ISIC_0030653,1,HAM_0003957,HAM_0003957,images/ISIC_0030653.jpg
ISIC_0060829,1,BCN_0004730,BCN_0004730,images/ISIC_0060829.jpg
ISIC_0069922,1,BCN_0001249,BCN_0001249,images/ISIC_0069922.jpg
ISIC_0071138,1,BCN_0001321,BCN_0001321,images/ISIC_0071138.jpg
ISIC_0072393,1,BCN_0001883,BCN_0001883,images/ISIC_0072393.jpg
ISIC_0060502,1,BCN_0003910,BCN_0003910,images/ISIC_0060502.jpg
ISIC_0001106_downsampled,1,,ISIC_0001106_downsampled,images/ISIC_0001106_downsampled.jpg
ISIC_0031023,1,HAM_0005678,HAM_0005678,images/ISIC_0031023.jpg
ISIC_0068385,1,BCN_0002775,BCN_0002775,images/ISIC_0068385.jpg
ISIC_0070822,1,BCN_0003610,BCN_0003610,images/ISIC_0070822.jpg
ISIC_0009882,1,,ISIC_0009882,images/ISIC_0009882.jpg
ISIC_0015079_downsampled,1,,ISIC_0015079_downsampled,images/ISIC_0015079_downsampled.jpg
ISIC_0060656,1,BCN_0001285,BCN_0001285,images/ISIC_0060656.jpg
ISIC_0014221_downsampled,1,MSK4_0010614,MSK4_0010614,images/ISIC_0014221_downsampled.jpg
ISIC_0065513,1,BCN_0004950,BCN_0004950,images/ISIC_0065513.jpg
ISIC_0053774,1,BCN_0001108,BCN_0001108,images/ISIC_0053774.jpg
ISIC_0057550,1,BCN_0001691,BCN_0001691,images/ISIC_0057550.jpg
ISIC_0033269,1,HAM_0006189,HAM_0006189,images/ISIC_0033269.jpg
ISIC_0061911,1,BCN_0002724,BCN_0002724,images/ISIC_0061911.jpg
ISIC_0060677,1,BCN_0005108,BCN_0005108,images/ISIC_0060677.jpg
ISIC_0062407,1,BCN_0002322,BCN_0002322,images/ISIC_0062407.jpg
ISIC_0064800,1,BCN_0003701,BCN_0003701,images/ISIC_0064800.jpg
ISIC_0073210,1,BCN_0005637,BCN_0005637,images/ISIC_0073210.jpg
ISIC_0000165,1,,ISIC_0000165,images/ISIC_0000165.jpg
ISIC_0070422,1,BCN_0005210,BCN_0005210,images/ISIC_0070422.jpg
ISIC_0063133,1,BCN_0001999,BCN_0001999,images/ISIC_0063133.jpg
ISIC_0054090,1,BCN_0001878,BCN_0001878,images/ISIC_0054090.jpg
ISIC_0070623,1,BCN_0002956,BCN_0002956,images/ISIC_0070623.jpg
ISIC_0073218,1,BCN_0000981,BCN_0000981,images/ISIC_0073218.jpg
ISIC_0014423_downsampled,1,MSK4_0010021,MSK4_0010021,images/ISIC_0014423_downsampled.jpg
ISIC_0064229,1,BCN_0001498,BCN_0001498,images/ISIC_0064229.jpg
ISIC_0071000,1,BCN_0002406,BCN_0002406,images/ISIC_0071000.jpg
ISIC_0015251_downsampled,1,,ISIC_0015251_downsampled,images/ISIC_0015251_downsampled.jpg
ISIC_0068401,1,BCN_0001755,BCN_0001755,images/ISIC_0068401.jpg
ISIC_0029502,1,HAM_0003617,HAM_0003617,images/ISIC_0029502.jpg
ISIC_0062809,1,BCN_0004815,BCN_0004815,images/ISIC_0062809.jpg
ISIC_0034006,1,HAM_0000709,HAM_0000709,images/ISIC_0034006.jpg
ISIC_0055796,1,BCN_0005160,BCN_0005160,images/ISIC_0055796.jpg
ISIC_0069254,1,BCN_0001426,BCN_0001426,images/ISIC_0069254.jpg
ISIC_0063349,1,BCN_0003726,BCN_0003726,images/ISIC_0063349.jpg
ISIC_0033081,1,HAM_0007583,HAM_0007583,images/ISIC_0033081.jpg
ISIC_0064887,1,BCN_0003571,BCN_0003571,images/ISIC_0064887.jpg
ISIC_0053698,1,BCN_0003408,BCN_0003408,images/ISIC_0053698.jpg
ISIC_0025963,1,HAM_0004642,HAM_0004642,images/ISIC_0025963.jpg
ISIC_0028410,1,HAM_0007558,HAM_0007558,images/ISIC_0028410.jpg
ISIC_0063182,1,BCN_0001790,BCN_0001790,images/ISIC_0063182.jpg
ISIC_0059330,1,BCN_0003726,BCN_0003726,images/ISIC_0059330.jpg
ISIC_0026188,1,HAM_0001409,HAM_0001409,images/ISIC_0026188.jpg
ISIC_0059785,1,BCN_0004592,BCN_0004592,images/ISIC_0059785.jpg
ISIC_0026622,1,HAM_0007165,HAM_0007165,images/ISIC_0026622.jpg
ISIC_0033603,1,HAM_0005010,HAM_0005010,images/ISIC_0033603.jpg
ISIC_0054159,1,BCN_0003799,BCN_0003799,images/ISIC_0054159.jpg
ISIC_0000176_downsampled,1,,ISIC_0000176_downsampled,images/ISIC_0000176_downsampled.jpg
ISIC_0055361,1,BCN_0001391,BCN_0001391,images/ISIC_0055361.jpg
ISIC_0028984,1,HAM_0003400,HAM_0003400,images/ISIC_0028984.jpg
ISIC_0025751,1,HAM_0000814,HAM_0000814,images/ISIC_0025751.jpg
ISIC_0066384,1,BCN_0002108,BCN_0002108,images/ISIC_0066384.jpg
ISIC_0010034,1,,ISIC_0010034,images/ISIC_0010034.jpg
ISIC_0032389,1,HAM_0003102,HAM_0003102,images/ISIC_0032389.jpg
ISIC_0068545,1,BCN_0001728,BCN_0001728,images/ISIC_0068545.jpg
ISIC_0025955,1,HAM_0005481,HAM_0005481,images/ISIC_0025955.jpg
ISIC_0011349,1,,ISIC_0011349,images/ISIC_0011349.jpg
ISIC_0056914,1,BCN_0003352,BCN_0003352,images/ISIC_0056914.jpg
ISIC_0055550,1,BCN_0005120,BCN_0005120,images/ISIC_0055550.jpg
ISIC_0000282,1,,ISIC_0000282,images/ISIC_0000282.jpg
ISIC_0063198,1,BCN_0004929,BCN_0004929,images/ISIC_0063198.jpg
ISIC_0056572,1,BCN_0002944,BCN_0002944,images/ISIC_0056572.jpg
ISIC_0062389,1,BCN_0000029,BCN_0000029,images/ISIC_0062389.jpg
ISIC_0065974,1,BCN_0005149,BCN_0005149,images/ISIC_0065974.jpg
ISIC_0057450,1,BCN_0005060,BCN_0005060,images/ISIC_0057450.jpg
ISIC_0073238,1,BCN_0005240,BCN_0005240,images/ISIC_0073238.jpg
ISIC_0064180,1,BCN_0000763,BCN_0000763,images/ISIC_0064180.jpg
ISIC_0032602,1,HAM_0004811,HAM_0004811,images/ISIC_0032602.jpg
ISIC_0010194,1,,ISIC_0010194,images/ISIC_0010194.jpg
ISIC_0026207,1,HAM_0002696,HAM_0002696,images/ISIC_0026207.jpg
ISIC_0026735,1,HAM_0007293,HAM_0007293,images/ISIC_0026735.jpg
ISIC_0009905,1,,ISIC_0009905,images/ISIC_0009905.jpg
ISIC_0025409,1,HAM_0001877,HAM_0001877,images/ISIC_0025409.jpg
ISIC_0058947,1,BCN_0003884,BCN_0003884,images/ISIC_0058947.jpg
ISIC_0055412,1,BCN_0000121,BCN_0000121,images/ISIC_0055412.jpg
ISIC_0025035,1,HAM_0007073,HAM_0007073,images/ISIC_0025035.jpg
ISIC_0060886,1,BCN_0005210,BCN_0005210,images/ISIC_0060886.jpg
ISIC_0055169,1,BCN_0004110,BCN_0004110,images/ISIC_0055169.jpg
ISIC_0054544,1,BCN_0004940,BCN_0004940,images/ISIC_0054544.jpg
ISIC_0026516,1,HAM_0003520,HAM_0003520,images/ISIC_0026516.jpg
ISIC_0070561,1,BCN_0004841,BCN_0004841,images/ISIC_0070561.jpg
ISIC_0072429,1,BCN_0001587,BCN_0001587,images/ISIC_0072429.jpg
ISIC_0071826,1,BCN_0005108,BCN_0005108,images/ISIC_0071826.jpg
ISIC_0055246,1,BCN_0004604,BCN_0004604,images/ISIC_0055246.jpg
ISIC_0069029,1,BCN_0002266,BCN_0002266,images/ISIC_0069029.jpg
ISIC_0032917,1,HAM_0002342,HAM_0002342,images/ISIC_0032917.jpg
ISIC_0057744,1,BCN_0001728,BCN_0001728,images/ISIC_0057744.jpg
ISIC_0062026,1,BCN_0002558,BCN_0002558,images/ISIC_0062026.jpg
ISIC_0059684,1,BCN_0001728,BCN_0001728,images/ISIC_0059684.jpg
ISIC_0053763,1,BCN_0003352,BCN_0003352,images/ISIC_0053763.jpg
